Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Cultures et produits animaux","Jamaïque","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","15818"
"Cultures et produits animaux","Japon","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1898.85"
"Cultures et produits animaux","Japon","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","5794"
"Cultures et produits animaux","Japon","Importations - Quantité","Poulets","2017","1000 têtes","403"
"Cultures et produits animaux","Japon","Importations - Valeur","Poulets","2017","1000 US$","7082"
"Cultures et produits animaux","Japon","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","569477.41"
"Cultures et produits animaux","Japon","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1345726"
"Cultures et produits animaux","Jordanie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","63.11"
"Cultures et produits animaux","Jordanie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","175"
"Cultures et produits animaux","Jordanie","Importations - Quantité","Poulets","2017","1000 têtes","75"
"Cultures et produits animaux","Jordanie","Importations - Valeur","Poulets","2017","1000 US$","6345"
"Cultures et produits animaux","Jordanie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","52808.43"
"Cultures et produits animaux","Jordanie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","81416"
"Cultures et produits animaux","Kazakhstan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2179.05"
"Cultures et produits animaux","Kazakhstan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4200"
"Cultures et produits animaux","Kazakhstan","Importations - Quantité","Poulets","2017","1000 têtes","427"
"Cultures et produits animaux","Kazakhstan","Importations - Valeur","Poulets","2017","1000 US$","10008"
"Cultures et produits animaux","Kazakhstan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","168860.94"
"Cultures et produits animaux","Kazakhstan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","143872"
"Cultures et produits animaux","Kenya","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1008.62"
"Cultures et produits animaux","Kenya","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3231"
"Cultures et produits animaux","Kenya","Importations - Quantité","Poulets","2017","1000 têtes","269"
"Cultures et produits animaux","Kenya","Importations - Valeur","Poulets","2017","1000 US$","732"
"Cultures et produits animaux","Kenya","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","75.14"
"Cultures et produits animaux","Kenya","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","293"
"Cultures et produits animaux","Kirghizistan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","760.22"
"Cultures et produits animaux","Kirghizistan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","872"
"Cultures et produits animaux","Kirghizistan","Importations - Quantité","Poulets","2017","1000 têtes","211"
"Cultures et produits animaux","Kirghizistan","Importations - Valeur","Poulets","2017","1000 US$","408"
"Cultures et produits animaux","Kirghizistan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","23141.71"
"Cultures et produits animaux","Kirghizistan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","28868"
"Cultures et produits animaux","Kiribati","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","27.49"
"Cultures et produits animaux","Kiribati","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","69"
"Cultures et produits animaux","Kiribati","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","956.78"
"Cultures et produits animaux","Kiribati","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2098"
"Cultures et produits animaux","Koweït","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","544.91"
"Cultures et produits animaux","Koweït","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1761"
"Cultures et produits animaux","Koweït","Importations - Quantité","Poulets","2017","1000 têtes","1326"
"Cultures et produits animaux","Koweït","Importations - Valeur","Poulets","2017","1000 US$","5836"
"Cultures et produits animaux","Koweït","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","131028.14"
"Cultures et produits animaux","Koweït","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","271768"
"Cultures et produits animaux","Lesotho","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","808.97"
"Cultures et produits animaux","Lesotho","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","613"
"Cultures et produits animaux","Lesotho","Importations - Quantité","Poulets","2017","1000 têtes","1349"
"Cultures et produits animaux","Lesotho","Importations - Valeur","Poulets","2017","1000 US$","1853"
"Cultures et produits animaux","Lesotho","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7727.52"
"Cultures et produits animaux","Lesotho","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","26943"
"Cultures et produits animaux","Lettonie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","6042.41"
"Cultures et produits animaux","Lettonie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","9566"
"Cultures et produits animaux","Lettonie","Importations - Quantité","Poulets","2017","1000 têtes","2051"
"Cultures et produits animaux","Lettonie","Importations - Valeur","Poulets","2017","1000 US$","1934"
"Cultures et produits animaux","Lettonie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","34695.41"
"Cultures et produits animaux","Lettonie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","43540"
"Cultures et produits animaux","Liban","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","205.88"
"Cultures et produits animaux","Liban","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","930"
"Cultures et produits animaux","Liban","Importations - Quantité","Poulets","2017","1000 têtes","1239"
"Cultures et produits animaux","Liban","Importations - Valeur","Poulets","2017","1000 US$","5989"
"Cultures et produits animaux","Liban","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7848.18"
"Cultures et produits animaux","Liban","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","19074"
"Cultures et produits animaux","Libéria","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4781.59"
"Cultures et produits animaux","Libéria","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4421"
"Cultures et produits animaux","Libéria","Importations - Quantité","Poulets","2017","1000 têtes","10"
"Cultures et produits animaux","Libéria","Importations - Valeur","Poulets","2017","1000 US$","10"
"Cultures et produits animaux","Libéria","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","41180.36"
"Cultures et produits animaux","Libéria","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","30162"
"Cultures et produits animaux","Libye","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","10191.41"
"Cultures et produits animaux","Libye","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","24069"
"Cultures et produits animaux","Libye","Importations - Quantité","Poulets","2017","1000 têtes","0"
"Cultures et produits animaux","Libye","Importations - Valeur","Poulets","2017","1000 US$","1"
"Cultures et produits animaux","Libye","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","35190.34"
"Cultures et produits animaux","Libye","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","51504"
"Cultures et produits animaux","Lituanie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","9854.67"
"Cultures et produits animaux","Lituanie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","16337"
"Cultures et produits animaux","Lituanie","Importations - Quantité","Poulets","2017","1000 têtes","5142"
"Cultures et produits animaux","Lituanie","Importations - Valeur","Poulets","2017","1000 US$","7609"
"Cultures et produits animaux","Lituanie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","35085.39"
"Cultures et produits animaux","Lituanie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","50329"
"Cultures et produits animaux","Luxembourg","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","5973.59"
"Cultures et produits animaux","Luxembourg","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","7356"
"Cultures et produits animaux","Luxembourg","Importations - Quantité","Poulets","2017","1000 têtes","63"
"Cultures et produits animaux","Luxembourg","Importations - Valeur","Poulets","2017","1000 US$","418"
"Cultures et produits animaux","Luxembourg","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7521.03"
"Cultures et produits animaux","Luxembourg","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","34644"
"Cultures et produits animaux","Macédoine du Nord","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","662.68"
"Cultures et produits animaux","Macédoine du Nord","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","807"
"Cultures et produits animaux","Macédoine du Nord","Importations - Quantité","Poulets","2017","1000 têtes","830"
"Cultures et produits animaux","Macédoine du Nord","Importations - Valeur","Poulets","2017","1000 US$","951"
"Cultures et produits animaux","Macédoine du Nord","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","36647.87"
"Cultures et produits animaux","Macédoine du Nord","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","50978"
"Cultures et produits animaux","Madagascar","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","83.89"
"Cultures et produits animaux","Madagascar","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","532"
"Cultures et produits animaux","Madagascar","Importations - Quantité","Poulets","2017","1000 têtes","465"
"Cultures et produits animaux","Madagascar","Importations - Valeur","Poulets","2017","1000 US$","826"
"Cultures et produits animaux","Malaisie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1.76"
"Cultures et produits animaux","Malaisie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","108"
"Cultures et produits animaux","Malaisie","Importations - Quantité","Poulets","2017","1000 têtes","2727"
"Cultures et produits animaux","Malaisie","Importations - Valeur","Poulets","2017","1000 US$","16352"
"Cultures et produits animaux","Malaisie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","66697.04"
"Cultures et produits animaux","Malaisie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","141671"
"Cultures et produits animaux","Malawi","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","31.23"
"Cultures et produits animaux","Malawi","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","212"
"Cultures et produits animaux","Malawi","Importations - Quantité","Poulets","2017","1000 têtes","260"
"Cultures et produits animaux","Malawi","Importations - Valeur","Poulets","2017","1000 US$","1111"
"Cultures et produits animaux","Malawi","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","352.84"
"Cultures et produits animaux","Malawi","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","871"
"Cultures et produits animaux","Maldives","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","9161.33"
"Cultures et produits animaux","Maldives","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","12765"
"Cultures et produits animaux","Maldives","Importations - Quantité","Poulets","2017","1000 têtes","12"
"Cultures et produits animaux","Maldives","Importations - Valeur","Poulets","2017","1000 US$","14"
"Cultures et produits animaux","Maldives","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","11248.29"
"Cultures et produits animaux","Maldives","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","21258"
"Cultures et produits animaux","Mali","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","383.08"
"Cultures et produits animaux","Mali","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","845"
"Cultures et produits animaux","Mali","Importations - Quantité","Poulets","2017","1000 têtes","2420"
"Cultures et produits animaux","Mali","Importations - Valeur","Poulets","2017","1000 US$","4237"
"Cultures et produits animaux","Mali","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","497.21"
"Cultures et produits animaux","Mali","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","742"
"Cultures et produits animaux","Malte","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","467.26"
"Cultures et produits animaux","Malte","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","827"
"Cultures et produits animaux","Malte","Importations - Quantité","Poulets","2017","1000 têtes","14"
"Cultures et produits animaux","Malte","Importations - Valeur","Poulets","2017","1000 US$","69"
"Cultures et produits animaux","Malte","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","5245.84"
"Cultures et produits animaux","Malte","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","13388"
"Cultures et produits animaux","Maroc","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0"
"Cultures et produits animaux","Maroc","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","0"
"Cultures et produits animaux","Maroc","Importations - Quantité","Poulets","2017","1000 têtes","3800"
"Cultures et produits animaux","Maroc","Importations - Valeur","Poulets","2017","1000 US$","17181"
"Cultures et produits animaux","Maroc","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","404.35"
"Cultures et produits animaux","Maroc","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","877"
"Cultures et produits animaux","Maurice","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","3.39"
"Cultures et produits animaux","Maurice","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","10"
"Cultures et produits animaux","Maurice","Importations - Quantité","Poulets","2017","1000 têtes","434"
"Cultures et produits animaux","Maurice","Importations - Valeur","Poulets","2017","1000 US$","1025"
"Cultures et produits animaux","Maurice","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","49.45"
"Cultures et produits animaux","Maurice","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","92"
"Cultures et produits animaux","Mauritanie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","55.46"
"Cultures et produits animaux","Mauritanie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","33"
"Cultures et produits animaux","Mauritanie","Importations - Quantité","Poulets","2017","1000 têtes","128"
"Cultures et produits animaux","Mauritanie","Importations - Valeur","Poulets","2017","1000 US$","92"
"Cultures et produits animaux","Mauritanie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","23473"
"Cultures et produits animaux","Mauritanie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","18550"
"Cultures et produits animaux","Mexique","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","56950.09"
"Cultures et produits animaux","Mexique","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","168719"
"Cultures et produits animaux","Mexique","Importations - Quantité","Poulets","2017","1000 têtes","2495"
"Cultures et produits animaux","Mexique","Importations - Valeur","Poulets","2017","1000 US$","25837"
"Cultures et produits animaux","Mexique","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","788451.84"
"Cultures et produits animaux","Mexique","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","817412"
"Cultures et produits animaux","Mongolie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","7666.79"
"Cultures et produits animaux","Mongolie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","7387"
"Cultures et produits animaux","Mongolie","Importations - Quantité","Poulets","2017","1000 têtes","216"
"Cultures et produits animaux","Mongolie","Importations - Valeur","Poulets","2017","1000 US$","309"
"Cultures et produits animaux","Mongolie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","9378.2"
"Cultures et produits animaux","Mongolie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","14824"
"Cultures et produits animaux","Monténégro","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2306.59"
"Cultures et produits animaux","Monténégro","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2421"
"Cultures et produits animaux","Monténégro","Importations - Quantité","Poulets","2017","1000 têtes","1862"
"Cultures et produits animaux","Monténégro","Importations - Valeur","Poulets","2017","1000 US$","1405"
"Cultures et produits animaux","Monténégro","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","6749.48"
"Cultures et produits animaux","Monténégro","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","14123"
"Cultures et produits animaux","Mozambique","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","11400.29"
"Cultures et produits animaux","Mozambique","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","17322"
"Cultures et produits animaux","Mozambique","Importations - Quantité","Poulets","2017","1000 têtes","2470"
"Cultures et produits animaux","Mozambique","Importations - Valeur","Poulets","2017","1000 US$","3079"
"Cultures et produits animaux","Mozambique","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","22211.56"
"Cultures et produits animaux","Mozambique","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","37814"
"Cultures et produits animaux","Myanmar","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","18.12"
"Cultures et produits animaux","Myanmar","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","262"
"Cultures et produits animaux","Myanmar","Importations - Quantité","Poulets","2017","1000 têtes","5736"
"Cultures et produits animaux","Myanmar","Importations - Valeur","Poulets","2017","1000 US$","4984"
"Cultures et produits animaux","Myanmar","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","20.4"
"Cultures et produits animaux","Myanmar","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","49"
"Cultures et produits animaux","Namibie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","132.63"
"Cultures et produits animaux","Namibie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","176"
"Cultures et produits animaux","Namibie","Importations - Quantité","Poulets","2017","1000 têtes","3975"
"Cultures et produits animaux","Namibie","Importations - Valeur","Poulets","2017","1000 US$","1550"
"Cultures et produits animaux","Namibie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","26899.36"
"Cultures et produits animaux","Namibie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","29968"
"Cultures et produits animaux","Nauru","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","107.49"
"Cultures et produits animaux","Nauru","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","225"
"Cultures et produits animaux","Nauru","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","577.18"
"Cultures et produits animaux","Nauru","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1751"
"Cultures et produits animaux","Népal","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.47"
"Cultures et produits animaux","Népal","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","11"
"Cultures et produits animaux","Népal","Importations - Quantité","Poulets","2017","1000 têtes","1844"
"Cultures et produits animaux","Népal","Importations - Valeur","Poulets","2017","1000 US$","7897"
"Cultures et produits animaux","Népal","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","114.76"
"Cultures et produits animaux","Népal","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","619"
"Cultures et produits animaux","Nicaragua","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4363.66"
"Cultures et produits animaux","Nicaragua","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","21741"
"Cultures et produits animaux","Nicaragua","Importations - Quantité","Poulets","2017","1000 têtes","8036"
"Cultures et produits animaux","Nicaragua","Importations - Valeur","Poulets","2017","1000 US$","7898"
"Cultures et produits animaux","Nicaragua","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","5225.63"
"Cultures et produits animaux","Nicaragua","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","6619"
"Cultures et produits animaux","Niger","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","33"
"Cultures et produits animaux","Niger","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","23"
"Cultures et produits animaux","Niger","Importations - Quantité","Poulets","2017","1000 têtes","78"
"Cultures et produits animaux","Niger","Importations - Valeur","Poulets","2017","1000 US$","44"
"Cultures et produits animaux","Niger","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2182"
"Cultures et produits animaux","Niger","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2778"
"Cultures et produits animaux","Nigéria","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","322.49"
"Cultures et produits animaux","Nigéria","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","6000"
"Cultures et produits animaux","Nigéria","Importations - Quantité","Poulets","2017","1000 têtes","119"
"Cultures et produits animaux","Nigéria","Importations - Valeur","Poulets","2017","1000 US$","596"
"Cultures et produits animaux","Nigéria","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","12632.26"
"Cultures et produits animaux","Nigéria","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","20650"
"Cultures et produits animaux","Nioué","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2.72"
"Cultures et produits animaux","Nioué","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","40"
"Cultures et produits animaux","Nioué","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","52.85"
"Cultures et produits animaux","Nioué","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","298"
"Cultures et produits animaux","Norvège","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","624.43"
"Cultures et produits animaux","Norvège","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3477"
"Cultures et produits animaux","Norvège","Importations - Quantité","Poulets","2017","1000 têtes","25"
"Cultures et produits animaux","Norvège","Importations - Valeur","Poulets","2017","1000 US$","457"
"Cultures et produits animaux","Norvège","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","525.81"
"Cultures et produits animaux","Norvège","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1336"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","386.11"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1190"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Quantité","Poulets","2017","1000 têtes","8"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Valeur","Poulets","2017","1000 US$","46"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","8216.11"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","17013"
"Cultures et produits animaux","Nouvelle-Zélande","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","96.86"
"Cultures et produits animaux","Nouvelle-Zélande","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1710"
"Cultures et produits animaux","Oman","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","23806.53"
"Cultures et produits animaux","Oman","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","53763"
"Cultures et produits animaux","Oman","Importations - Quantité","Poulets","2017","1000 têtes","88"
"Cultures et produits animaux","Oman","Importations - Valeur","Poulets","2017","1000 US$","3025"
"Cultures et produits animaux","Oman","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","121508.28"
"Cultures et produits animaux","Oman","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","199227"
"Cultures et produits animaux","Ouganda","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","129.85"
"Cultures et produits animaux","Ouganda","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","453"
"Cultures et produits animaux","Ouganda","Importations - Quantité","Poulets","2017","1000 têtes","3165"
"Cultures et produits animaux","Ouganda","Importations - Valeur","Poulets","2017","1000 US$","3571"
"Cultures et produits animaux","Ouganda","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","184.05"
"Cultures et produits animaux","Ouganda","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","253"
"Cultures et produits animaux","Ouzbékistan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","497.11"
"Cultures et produits animaux","Ouzbékistan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1940"
"Cultures et produits animaux","Ouzbékistan","Importations - Quantité","Poulets","2017","1000 têtes","1740"
"Cultures et produits animaux","Ouzbékistan","Importations - Valeur","Poulets","2017","1000 US$","9154"
"Cultures et produits animaux","Ouzbékistan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7695.82"
"Cultures et produits animaux","Ouzbékistan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","7018"
"Cultures et produits animaux","Pakistan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","123.96"
"Cultures et produits animaux","Pakistan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","285"
"Cultures et produits animaux","Pakistan","Importations - Quantité","Poulets","2017","1000 têtes","1024"
"Cultures et produits animaux","Pakistan","Importations - Valeur","Poulets","2017","1000 US$","13629"
"Cultures et produits animaux","Pakistan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","64.48"
"Cultures et produits animaux","Pakistan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","123"
"Cultures et produits animaux","Palestine","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4200"
"Cultures et produits animaux","Palestine","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","12317"
"Cultures et produits animaux","Palestine","Importations - Quantité","Poulets","2017","1000 têtes","505"
"Cultures et produits animaux","Palestine","Importations - Valeur","Poulets","2017","1000 US$","1470"
"Cultures et produits animaux","Palestine","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7900"
"Cultures et produits animaux","Palestine","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","15861"
"Cultures et produits animaux","Panama","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","136.14"
"Cultures et produits animaux","Panama","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","381"
"Cultures et produits animaux","Panama","Importations - Quantité","Poulets","2017","1000 têtes","1291"
"Cultures et produits animaux","Panama","Importations - Valeur","Poulets","2017","1000 US$","6265"
"Cultures et produits animaux","Panama","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","11639.42"
"Cultures et produits animaux","Panama","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","14032"
"Cultures et produits animaux","Papouasie-Nouvelle-Guinée","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","615"
"Cultures et produits animaux","Papouasie-Nouvelle-Guinée","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1852"
